,Area Name,Total/ Rural/Urban,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
72,HIMACHAL PRADESH,Rural,0-14,6.276339274959375e-05,1027,0.3897801544860368,28,0.0112893642305407,0.0053475935828877,1533,0.5508021390374331,0.3600713012477718
73,HIMACHAL PRADESH,Rural,15-59,0.00017217978866599783,2720,0.41087286116525884,1770,0.2761533463287849,0.10721247563352826,1577,0.17089018843404807,0.17067359757418238
74,HIMACHAL PRADESH,Rural,60+,4.609361463963035e-05,712,0.42394822006472493,290,0.15776699029126215,0.07686084142394822,683,0.28883495145631066,0.26375404530744334
75,HIMACHAL PRADESH,Rural,Age not stated,4.47510821743984e-07,4,0.6666666666666666,2,0.08333333333333333,0.08333333333333333,8,0.16666666666666666,0.5
76,HIMACHAL PRADESH,Rural,0-14,7.887378233237717e-05,1316,0.37777777777777777,20,0.0070921985815602835,0.002364066193853428,1955,0.5782505910165484,0.34609929078014184
77,HIMACHAL PRADESH,Rural,15-59,0.0006537387254310033,11291,0.35590416428978894,6453,0.28648031945236735,0.0816314888762122,6974,0.21859669138619509,0.17923559612093554
78,HIMACHAL PRADESH,Rural,60+,0.00040085781857717367,5513,0.4871150804726021,1255,0.08419387850032561,0.03256116848078891,7770,0.3444041306168016,0.37845380965671227
79,HIMACHAL PRADESH,Rural,Age not stated,1.230654759795956e-06,20,0.3939393939393939,11,0.30303030303030304,0.030303030303030304,19,0.24242424242424243,0.3333333333333333
80,HIMACHAL PRADESH,Rural,0-14,6.429238805721904e-05,976,0.43387470997679817,13,0.0034802784222737818,0.004060324825986079,1620,0.5359628770301624,0.4037122969837587
81,HIMACHAL PRADESH,Rural,15-59,0.00021570021608060028,3499,0.39505532503457813,971,0.12361687413554634,0.04426002766251729,3436,0.3473374827109267,0.24671507607192256
82,HIMACHAL PRADESH,Rural,60+,2.2748466771985853e-05,330,0.45901639344262296,99,0.11967213114754098,0.04262295081967213,394,0.3163934426229508,0.3295081967213115
